"PC1","PC2","PC3","celltype"
-0.3037195426216,-0.89916400348646,-0.315053224493778,"secretory 1"
-0.493233673677564,-0.845912431140883,-0.202861287563335,"secretory 1"
-0.410223450792655,-0.76304858121954,0.499473305711739,"secretory 1"
0.81245828249096,-0.522204526840622,-0.259256574379516,"psap+ parenchymal cells"
0.140405843571756,0.548017295359717,0.824598837664427,"late epidermal progenitors 1"
0.801088905706711,-0.53891572373169,-0.260435035792753,"psap+ parenchymal cells"
-0.247117401120662,-0.0842457981461782,-0.965316339630736,"neoblast 1"
-0.267334710967187,-0.260037585260783,-0.92785376356613,"neoblast 1"
-0.455366438323039,-0.823763692564066,-0.337719981141485,"muscle body"
-0.00939322594581928,0.608460556744521,0.793528523868222,"late epidermal progenitors 1"
-0.300814676573944,0.103684437554104,-0.948029571145754,"early epidermal progenitors"
-0.384978191056583,-0.514154283816358,-0.766444495605578,"neoblast 1"
-0.25777953496466,-0.380392850335248,-0.888172838341293,"neoblast 1"
-0.468781978955255,-0.146660893019262,-0.871053407470281,"neoblast 1"
-0.251892640036697,-0.270133800697256,-0.92928888275724,"neoblast 1"
-0.214540480004641,-0.222022908475071,-0.951145735705969,"neoblast 1"
-0.500643984772706,-0.558039516209831,-0.661776018649214,"secretory 4"
-0.21345838506977,-0.241230834073574,-0.94670122136584,"neoblast 1"
-0.376449125613571,-0.368862662445573,-0.849839038923455,"neoblast 1"
0.233057059181974,0.139866809456735,0.962352161517728,"epidermis"
-0.157981436175589,-0.370196048349461,-0.915421625050633,"neoblast 1"
-0.013034674679132,-0.221815235516562,-0.97500158899806,"neoblast 1"
-0.333161663027523,-0.100879549106559,-0.937457531230505,"neoblast 1"
-0.316170011465743,-0.143282249985021,-0.937820196353748,"neoblast 1"
-0.313587738210669,-0.283657251217134,-0.906201574858407,"neoblast 1"
-0.444186351577795,-0.104393916326529,-0.889831666837058,"early epidermal progenitors"
-0.328626151443479,-0.336452832748838,-0.882498920068875,"neoblast 1"
-0.190159053654122,-0.174952742302212,-0.966038856503352,"neoblast 1"
0.872239081696737,-0.459852295488459,-0.166537835625505,"pgrn+ parenchymal cells"
-0.182406525163672,0.0835326588030989,-0.979668390064209,"neoblast 1"
0.076563699748282,0.372196086458885,0.924990850282069,"epidermis"
-0.273336285503279,-0.189216246082653,-0.943124852416507,"neoblast 1"
-0.189256514382604,-0.981678988047527,-0.0220983300213128,"secretory 1"
-0.677564270297596,-0.0222694007177401,-0.73512633839889,"neoblast 1"
-0.039577818148503,0.848226009767137,-0.528153607073855,"early epidermal progenitors"
-0.330915134914945,-0.917099204508483,0.222315592287476,"muscle body"
-0.459356574277283,-0.71684307926863,-0.52452601210322,"neoblast 1"
-0.446501647747636,-0.36966811851838,-0.814850759777351,"neoblast 1"
-0.362084084688493,-0.0671060044384766,-0.929726787708948,"neoblast 1"
-0.283403101058566,-0.470247728332203,-0.835792890798187,"neoblast 1"
-0.510122984361415,-0.854575455849456,0.0973413123288222,"muscle body"
-0.597921152557928,-0.645611843037489,-0.475053305907385,"neoblast 1"
0.0265919094714167,0.532620503651149,0.845936327060766,"late epidermal progenitors 1"
-0.198771967262586,-0.291673798558321,-0.935636735205027,"neoblast 1"
-0.385429015380622,-0.542300958080667,-0.746561548010286,"neoblast 1"
-0.121757078159502,-0.037998305890384,-0.991832315801175,"neoblast 1"
0.110963974113864,0.472259362008552,0.874447306270728,"late epidermal progenitors 1"
0.0610308786891841,-0.168487824351323,-0.983812525276937,"neoblast 1"
-0.254970071958166,0.00700179618908266,-0.966923594321586,"neoblast 1"
-0.347879179706783,0.113867174723711,-0.930598916207716,"neoblast 1"
-0.000411984394999003,0.589589727399988,0.80770278172931,"late epidermal progenitors 2"
0.113488357188369,0.394428115190221,0.91189190956504,"epidermis"
-0.117992649805794,0.205569905744328,0.971503344535713,"epidermis DVb"
0.898620674948541,-0.435114681193398,-0.0561791488454275,"phagocytes"
-0.340042197621794,-0.0921453270619798,-0.935884898124327,"early epidermal progenitors"
-0.299931908828853,-0.125561759034072,-0.945661194474295,"neoblast 1"
-0.298313107577823,-0.293163121483851,-0.908330707423847,"neoblast 1"
-0.116730954650985,-0.12847281695909,-0.984819079592219,"neoblast 1"
-0.00610436312191404,0.584382801761979,0.811455160656272,"late epidermal progenitors 1"
